,player_id,targets,deep_targets,red_zone_targets,air_yards,air_yards_per_target,yac,yac_oe,carries,yards_per_carry,red_zone_carries,big_carries,cpoe,big_carry_percentage,player_name,team,targets_team,carries_team,red_zone_targets_team,red_zone_carries_team,target_percentage,carry_percentage,red_zone_target_percentage,red_zone_carry_percentage
29,00-0033246,1.0,,,7.0,7.0,2.0,-0.6975874864147045,,,,,,,J.Mundt,LA,275,201,27,16,0.0036363636363636364,,,
30,00-0036862,3.0,,,12.0,4.0,18.0,-6.2433648002916,,,,,,,B.Skowronek,LA,275,201,27,16,0.01090909090909091,,,
31,00-0034845,7.0,,,-1.0,-0.14285714285714285,38.0,-8.406461439815757,65.0,3.8615384615384616,2.0,7.0,,0.1076923076923077,S.Michel,LA,275,201,27,16,0.025454545454545455,0.32338308457711445,,0.125
32,00-0026189,15.0,7.0,,346.0,23.066666666666666,104.0,51.74251452089811,,,,,,,D.Jackson,LA,275,201,27,16,0.05454545454545454,,,
33,00-0035664,24.0,,2.0,45.0,1.875,126.0,16.03854477826099,110.0,4.609090909090909,12.0,15.0,,0.13636363636363635,D.Henderson,LA,275,201,27,16,0.08727272727272728,0.5472636815920398,0.07407407407407407,0.75
34,00-0033110,36.0,,5.0,153.0,4.25,162.0,7.640653519520129,,,,,,,T.Higbee,LA,275,201,27,16,0.13090909090909092,,0.18518518518518517,
35,00-0036415,39.0,7.0,2.0,526.0,13.487179487179487,113.0,-8.186778600102121,,,,,,,V.Jefferson,LA,275,201,27,16,0.14181818181818182,,0.07407407407407407,
36,00-0030431,60.0,,8.0,505.0,8.559322033898304,159.0,-2.305552150297446,7.0,5.714285714285714,,1.0,,0.14285714285714285,R.Woods,LA,275,201,27,16,0.21818181818181817,0.03482587064676617,0.2962962962962963,
37,00-0033908,90.0,4.0,10.0,848.0,9.422222222222222,366.0,71.09217046284175,1.0,-5.0,,,,,C.Kupp,LA,275,201,27,16,0.32727272727272727,0.004975124378109453,0.37037037037037035,
38,00-0034899,,,,,,,,1.0,0.0,,,-53.385670483112335,,J.Wolford,LA,275,201,27,16,,0.004975124378109453,,
