,player_id,week,targets_wk,red_zone_targets_wk,deep_targets_wk,air_yards_per_target_wk,carries_wk,red_zone_carries_wk,yards_per_carry_wk,team,targets_wk_team,carries_wk_team,target_percentage_wk,carry_percentage_wk,player_name
510,00-0030035,8,9.0,,,8.666666666666666,,,,MIN,33,23,0.2727272727272727,,A.Thielen
511,00-0029604,8,,,,,2.0,,9.5,MIN,33,23,,0.08695652173913043,K.Cousins
512,00-0035021,6,1.0,,,4.0,,,,IND,18,25,0.05555555555555555,,A.Dulin
513,00-0035639,6,1.0,,1.0,47.0,,,,IND,18,25,0.05555555555555555,,P.Campbell
514,00-0033251,6,1.0,,,5.0,,,,IND,18,25,0.05555555555555555,,Z.Pascal
515,00-0030181,6,1.0,,,4.0,,,,IND,18,25,0.05555555555555555,,J.Doyle
516,00-0036223,6,2.0,,,0.5,14.0,3.0,10.357142857142858,IND,18,25,0.1111111111111111,0.56,J.Taylor
517,00-0034367,6,2.0,,,2.0,4.0,,3.25,IND,18,25,0.1111111111111111,0.16,N.Hines
518,00-0033217,6,3.0,,,18.666666666666668,,,,IND,18,25,0.16666666666666666,,M.Alie-Cox
519,00-0036252,6,3.0,,,15.666666666666666,1.0,,3.0,IND,18,25,0.16666666666666666,0.04,M.Pittman
520,00-0029608,6,4.0,,1.0,16.75,,,,IND,18,25,0.2222222222222222,,T.Hilton
521,00-0032950,6,,,,,1.0,,2.0,IND,18,25,,0.04,C.Wentz
522,00-0033951,6,,,,,5.0,,2.4,IND,18,25,,0.2,M.Mack
523,00-0034775,4,1.0,,,4.0,,,,ARI,29,38,0.034482758620689655,,C.Kirk
524,00-0033553,4,2.0,,,2.0,18.0,5.0,2.7777777777777777,ARI,29,38,0.06896551724137931,0.47368421052631576,J.Conner
525,00-0036936,4,3.0,,,-1.0,2.0,,4.5,ARI,29,38,0.10344827586206896,0.05263157894736842,R.Moore
526,00-0034681,4,5.0,,,5.6,12.0,2.0,10.0,ARI,29,38,0.1724137931034483,0.3157894736842105,C.Edmonds
527,00-0031558,4,5.0,,,3.8,,,,ARI,29,38,0.1724137931034483,,M.Williams
528,00-0027942,4,6.0,1.0,1.0,8.666666666666666,,,,ARI,29,38,0.20689655172413793,,A.Green
529,00-0030564,4,7.0,1.0,,13.142857142857142,,,,ARI,29,38,0.2413793103448276,,D.Hopkins
530,00-0035228,4,,,,,6.0,1.0,6.5,ARI,29,38,,0.15789473684210525,K.Murray
531,00-0034791,4,1.0,,,4.0,21.0,2.0,4.761904761904762,CLE,32,38,0.03125,0.5526315789473685,N.Chubb
532,00-0032956,4,1.0,1.0,,,,,,CLE,32,38,0.03125,,A.Janovich
533,00-0036999,4,1.0,,1.0,37.0,,,,CLE,32,38,0.03125,,A.Schwartz
534,00-0036654,4,2.0,,,-1.5,,,,CLE,32,38,0.0625,,D.Felton
535,00-0033885,4,2.0,,,0.0,,,,CLE,32,38,0.0625,,D.Njoku
536,00-0036232,4,2.0,,,14.5,,,,CLE,32,38,0.0625,,H.Bryant
537,00-0033923,4,4.0,1.0,,1.5,14.0,2.0,4.928571428571429,CLE,32,38,0.125,0.3684210526315789,K.Hunt
538,00-0032392,4,5.0,1.0,,3.0,,,,CLE,32,38,0.15625,,A.Hooper
539,00-0032977,4,7.0,,,12.571428571428571,,,,CLE,32,38,0.21875,,R.Higgins
540,00-0031235,4,7.0,1.0,3.0,20.571428571428573,1.0,,4.0,CLE,32,38,0.21875,0.02631578947368421,O.Beckham
541,00-0034855,4,,,,,2.0,,5.5,CLE,32,38,,0.05263157894736842,B.Mayfield
542,00-0034838,3,1.0,,,5.0,5.0,1.0,3.4,CAR,33,30,0.030303030303030304,0.16666666666666666,R.Freeman
543,00-0032543,3,1.0,,,11.0,,,,CAR,33,30,0.030303030303030304,,A.Erickson
544,00-0037005,3,1.0,,,25.0,1.0,1.0,7.0,CAR,33,30,0.030303030303030304,0.03333333333333333,T.Tremble
545,00-0032688,3,2.0,,,3.0,,,,CAR,33,30,0.06060606060606061,,R.Anderson
546,00-0033280,3,2.0,,,-3.0,7.0,,4.428571428571429,CAR,33,30,0.06060606060606061,0.23333333333333334,C.McCaffrey
